Bit,Field Mnemonic,Type,"Reset Value",Description,"Error Class"
38,"CI Trigger Buffer Stage Data Parity Error",RW1CHS,0,"A Parity error was detected on CI Trigger Buffer. TXE Log Register 1 will contain details of the error.",Fatal
39,Reserved,RW1CHS,0,"Reserved, but implemented for future use.",Fatal
40,"MMIO BAR Table (MBT) Parity Error",RW1CHS,0,MBT table detected an internal parity error.,Fatal
41,Reserved,RW1CHS,0,"Reserved, but implemented for future use.",Fatal
42,"MMIO Domain Table (MDT) ECC Correctable Error",RW1CHS,0,"A correctable ECC error (CE) was detected by the MMIO Domain Table logic.",INF
43,"MMIO Domain Table (MDT) ECC Uncorrectable Error",RW1CHS,0,"An uncorrectable ECC error (UE) was detected by the MMIO Domain Table logic.",Fatal
44,"MMIO Domain Table (MDT) Stage Parity Error",RW1CHS,0,"An internal stage parity error was detected by the MMIO Domain Table logic.",Fatal
45,"MMIO Domain Table (MDT) Stage Valid Error",RW1CHS,0,"An internal stage valid error was detected by the MMIO Domain Table logic.",Fatal
46,"AIB Data Special Uncorrectable Error (SUE)",RW1CHS,0,"A 'Special' uncorrectable ECC (SUE) error was indicated on the AIB data received from the PB block. The PB LEM FIR will provide details on why the SUE was forwarded. If the MMIO targets the link, the PHB4 will set the BLIF signal -etu_pcie_blif_out_dat_err, so the packet will get nullified.",INF*
47,"MMIO Domain Table (MDT) Read Pipe Error",RW1CHS,0,"A fatal error occurred while accessing the MMIO Domain Table logic. This includes overflow/underflow, data parity, and valid errors.",Fatal
48,"P2P Store Data Fifo Error",RW1CHS,0,"The P2P Store data fifo took a fatal error. This includes underflow/overflow, internal parity or entry valid error. Log0 will contain details of the specific error.",Fatal
49,"EPAT Table Parity Error",RW1CHS,0,"A parity error was detected by the End Point Active Table (EPAT) logic.",Fatal
50,MMIO Cmd Parity Error,RW1CHS,0,A parity error has occurred in the MMIO command pipeline.,Fatal
51,"BLIF1 Register Parity Error",RW1CHS,0,"A parity error has occurred in the register that drives the BLIF Command for CI loads and stores.",Fatal
52,"P2P1 Register Parity Error",RW1CHS,0,"A parity error has occurred in the register that drives the BLIF Command for P2P stores.",Fatal
53,P2P WR Pending Error,RW1CHS,0,"The ETU received another P2P Write while one is still pending. A command is considered pending when a credit for the command has not been returned over AIB.",Fatal
54,CRW Onehot Error,RW1CHS,0,"The Credit Return Write State Machine signaled a state (onehot) error.",Fatal
55,CRW Pending Error,RW1CHS,0,The CRW SM issued another CRW Write while one is still pending.,Fatal
56,RRB Parity Error,RW1CHS,0,"A parity error was detected in the RRB block for a register implemented in the TXE macro.",Fatal
57,"RRB Size/Alignment Error",RW1CHS,0,"A read/write access to a register had incorrect size or address alignment.",Fatal
58,s_bad_addr_e_q,RW1CHS,0,"TXE local error, internal register bad address error.",Fatal
59,s_req_size_align_e_q,RW1CHS,0,"TXE local error, internal register read / write access to a register had incorrect size or address alignment.",Fatal
60:63,Reserved,RO,0,Reserved.,
