Bit,Field Mnemonic,Type,"Reset Value",Description,"Error Class"
45,pb_err_p_fe_pci_rcv_unsup_req_e,RW1CHS,0,"Unsupported Request Received Error. This is a summary error of all the individual Unsupported Request error log indicators for inbound TLP checks.",INF1
46,pb_err_p_fe_pci_sig_cpl_abort_e,RW1CHS,0,"Issued Completer Abort status outbound. PBL issued an outbound completion TLP with a completer abort ('CA') completion status.",INF1
47,pb_err_p_fe_pci_sig_cpl_timeout_e,RW1CHS,0,"Completion Timeout Error. A timeout was detected for an outbound nonposted request which is waiting on a completion from PCI.",INF1
48,pb_err_p_fe_pci_sig_poisoned_tlp_e,RW1CHS,0,"Signaled outbound poisoned TLP. PBL issued an outbound TLP with the poisoned bit ('EP') set in the header.",INF1
49:51,Reserved,RW1CHS,0,"Reserved, but implemented register(s) for future use.",Fatal
52,pb_err_p_inf_out_trans_to_pst_e,RW1CHS,0,"Outbound Posted Request transmission timeout. Indicates the outbound posted request at the head of the posted queue was not able to be transmitted in the allotted time due to one of the following conditions: 1. Lack of PCIe credits for the request 2. Lack of Replay buffer space for the request. This is informational. The request is not dropped, it continues to wait for permission to proceed. This could indicate a credit return or DLL Ack problem from the PCIe link.",Fatal
53,pb_err_p_inf_out_trans_to_npst_e,RW1CHS,0,"Outbound nonposted request transmission timeout. Indicates the outbound nonposted request at the head of the nonposted queue was not able to be transmitted in the allotted time due one of the following conditions: •Lack of PCIe credits for the request. •Lack of Replay buffer credits for the request. •Blocked by outbound Posted request due to PCIe ordering. This is informational. The request is not dropped, it continues to wait for permission to proceed. The nonposted timeout timer does not being if there are no available nonposted request tags to create the outbound request. The lack of request tags is timed via the completion timeout timers for previously issued nonposted requests.",Fatal
54,pb_err_p_inf_out_trans_to_cpl_e,RW1CHS,0,"Outbound Completion transmission timeout. Indicates the outbound completion at the head of the completion queue was not able to be transmitted in the allotted time due to one of the following conditions: •Lack of PCIe credits for the request. •Lack of Replay buffer credits for the request. •Blocked by outbound posted request due to PCIe ordering. This is informational. The request is not dropped, it continues to wait for permission to proceed.",Fatal
55,Reserved,RW1CHS,0,"Reserved, but implemented register(s) for future use.",Fatal
56,pb_err_p_inf_ib_d_ecc_ce,RW1CHS,0,Inbound Data buffer ECC CE.,INF1
57,pb_err_p_inf_ib_h_ecc_ce,RW1CHS,0,Inbound Header buffer ECC CE.,INF1
58,pb_err_p_inf_ob_d_ecc_ce,RW1CHS,0,Outbound Data buffer ECC CE.,INF1
59,pb_err_p_inf_ob_h_ecc_ce,RW1CHS,0,Outbound Header buffer ECC CE.,INF1
60,pb_err_p_inf_ocf_ecc_ce,RW1CHS,0,OCF Interface Data Bus ECC CE.,INF1
61,Reserved,RW1CHS,0,"Reserved, but implemented register(s) for future use.",Fatal
62,PBL Bad Register Address Error,RW1CHS,0,"PBL register access to non-implmented address/register in range 0x1800 to 0x1958.",Fatal
63,PBL Register Parity Error,RW1CHS,0,Parity Error detected in the PBL register set.,Fatal
