Bit,Field Mnemonic,Type,"Reset Value",Description,"Error Class"
40,"DSP TREQ ECC Correctable Error",RW1CHS,0,ECC correctable error detected in the TREQ queue.,INF
41,"DSP TREQ ECC Uncorrectable Error",RW1CHS,0,ECC uncorrectable error detected in the TREQ queue.,Fatal
42,"DSP MMIO Queue Overflow Error",RW1CHS,0,An MMIO related queue overflowed.,Fatal
43,"DSP MMIO Queue Underflow Error",RW1CHS,0,An MMIO related queue underflowed.,Fatal
44,"DSP MMIO Internal Parity Error",RW1CHS,0,An MMIO internal resource had a parity error.,Fatal
45,"DSP DMA Queue Overflow Error",RW1CHS,0,A DMA related queue overflowed.,Fatal
46,"DSP DMA Queue Underflow Error",RW1CHS,0,A DMA related queue underflowed.,Fatal
47,"DSP DMA Internal Parity Error",RW1CHS,0,A DMA internal resource had a parity error.,Fatal
48,"DSP Read Thread State Machine One-Hot Error",RW1CHS,0,The state machine was found in multiple/invalid states.,Fatal
49,"DSP Table State Machine One-Hot Error",RW1CHS,0,The state machine was found in multiple/invalid states.,Fatal
50,"DSP NBW State Machine One-Hot Error",RW1CHS,0,"The state machine was found in multiple/invalid states. Active in x16 builds only.",Fatal
51,"DSP TSM PEST BAR Disabled Error",RW1CHS,0,"The error reporting logic attempted to access the PEST BAR when it was disabled.",Fatal
52:55,Reserved,RW1CHS,0,"Reserved, but implemented for future use.",Fatal
56,IPD ECC Correctable Error,RW1CHS,0,A correctable ECC error was detected in the array.,INF
57,"IPD ECC Uncorrectable Error",RW1CHS,0,An uncorrectable ECC error was detected in array.,Fatal
58,"ICPLD ECC Correctable Error",RW1CHS,0,A correctable ECC error was detected in the array.,INF
59,"ICPLD ECC Uncorrectable Error",RW1CHS,0,An uncorrectable ECC error was detected in array.,Fatal
60,"NBWD ECC Correctable Error",RW1CHS,0,"A correctable ECC error was detected in the Non-Blocking Write data array. Active in x16 builds only.",INF
61,"NBWD ECC Uncorrectable Error",RW1CHS,0,"An uncorrectable ECC error was detected in the Non-Blocking Write data array. Active in x16 builds only",Fatal
62,Reserved,RW1CHS,0,"Reserved, but implemented for future use.",Fatal
63,"pb_etu_ai_rx_raise_fence (rising edge)",RW1CHS,0,"PB logic above the PHB4 asserted its raise fence signal. This error is also routed to the LEM FIR. This can be used for debug in conjunction with the LEM WOF to test if the PB logic asserted its fence before other PHB4 errors. The PHB4 logic detects the error as a rising edge of the PB signal. The error will not reassert if the PB signal remains constant.",Fatal
